BatclustNo,BowlclustNo,0s,1s,2s,3s,4s,6s,out
0,0,0.3510638177,0.4078014195,0.0744680837,0.0047281324,0.1075650081,0.0543735214,0.0283687934
0,1,0.2173912972,0.5652173758,0.0434782617,0,0.1086956486,0.0652173907,0.0217391308
0,10,0.2666666806,0.400000006,0.1333333403,0,0.0666666701,0.1333333403,0.0666666701
7,9,0.4201853871,0.3501544893,0.0576725043,0.007723996,0.1184346005,0.0458290428,0.054582905
7,10,0.375,0.4166666567,0.0833333358,0,0.1041666642,0.020833334,0
7,11,0.463632971,0.3267437518,0.0563222691,0.0037299516,0.1208504289,0.0287206266,0.0507273413
8,0,0.4130434692,0.3913043439,0.0652173907,0,0.1086956486,0.0217391308,0.0217391308
8,1,0.6000000238,0.200000003,0,0,0.200000003,0,0
8,2,0.7142857313,0.2857142985,0,0,0,0,0
8,4,0.777777791,0.1111111119,0,0,0.1111111119,0,0.1111111119
8,5,0.5416666865,0.25,0.2083333284,0,0,0,0.2083333284
0,11,0.3941660523,0.3627524376,0.0845175758,0.0007479432,0.1077038124,0.0501121916,0.0613313392
8,6,0.5625,0.3125,0.0625,0,0,0.0625,0
8,7,0.5,0.5,0,0,0,0,0
8,8,0.4177215099,0.3670886159,0.0886075944,0,0.0632911399,0.0632911399,0.1012658253
8,9,0.4242424369,0.3787878752,0.1060606092,0,0.0606060624,0.0303030312,0.1212121248
8,11,0.5214285851,0.2785714269,0.0642857179,0.0142857144,0.0857142881,0.0357142873,0.1071428582
9,0,0.3259109259,0.4372469783,0.0870445371,0.0020242915,0.1012145728,0.0465587042,0.0323886648
9,1,0.25,0.75,0,0,0,0,0.25
9,2,0.4444444478,0.3333333433,0.055555556,0,0.1666666716,0,0.055555556
9,3,0.5,0.25,0,0,0,0.25,0.25
9,4,0.4516128898,0.290322572,0.0806451589,0.0161290318,0.145161286,0.0161290318,0
9,5,0.3245614171,0.438596487,0.1228070185,0,0.0701754391,0.0438596494,0.0964912251
9,6,0.380952388,0.3703703582,0.0740740746,0,0.1216931194,0.0529100522,0.0317460336
9,7,0.3488371968,0.4069767296,0.0813953504,0.0116279069,0.0813953504,0.0697674453,0.0465116277
9,8,0.3943662047,0.4030335844,0.0606717244,0.0043336945,0.0964246988,0.0411700979,0.0563380271
9,9,0.393053025,0.3802559376,0.0987202898,0.0036563072,0.0822669119,0.0420475304,0.0548446067
9,11,0.398914516,0.3826322854,0.0732700154,0.0027137042,0.0949796438,0.0474898219,0.0719131604
1,0,0.3333333433,0.6666666865,0,0,0,0,0
10,4,0,0,0,0,1,0,0
10,6,0,1,0,0,0,0,0
10,8,0,0.5,0,0,0.5,0,0
10,9,0.3333333433,0,0,0,0.6666666865,0,0
10,11,1,0,0,0,0,0,1
11,0,0.6551724076,0.2758620679,0,0,0.068965517,0,0.1034482792
11,5,0.5333333611,0.400000006,0,0,0.0333333351,0.0333333351,0.1333333403
11,6,0.3529411852,0.5294117928,0.0588235296,0,0.0588235296,0,0.0588235296
11,8,0.70103091,0.2577319443,0.030927835,0,0,0.010309278,0.1546391696
11,9,0.5846154094,0.369230777,0.0153846154,0,0.0307692308,0,0.1076923087
11,11,0.696428597,0.25,0.0178571437,0,0.0357142873,0,0.1428571492
12,0,1,0,0,0,0,0,0.5
12,5,1,0,0,0,0,0,0.6000000238
12,6,1,0,0,0,0,0,0.200000003
12,8,0.8000000119,0.200000003,0,0,0,0,0.200000003
12,9,0.6666666865,0.3333333433,0,0,0,0,0.3333333433
12,11,1,0,0,0,0,0,0.2222222239
13,0,0.40625,0.375,0.09375,0.0133928573,0.0669642836,0.0446428582,0.0401785709
13,2,0.5454545617,0.1818181872,0,0,0.1818181872,0.0909090936,0.0909090936
13,4,0.4499999881,0.400000006,0.0500000007,0,0.1000000015,0,0.0250000004
13,5,0.3982300758,0.4070796371,0.0884955749,0,0.03539823,0.0707964599,0.0707964599
13,6,0.4268292785,0.3902438879,0.024390243,0,0.1219512224,0.0365853645,0.0365853645
13,7,0.555555582,0.3333333433,0.055555556,0,0.055555556,0,0.1111111119
13,8,0.3847981095,0.3966745734,0.0736342072,0.002375297,0.1187648475,0.0237529688,0.0546318293
13,9,0.4182509482,0.3536121547,0.0760456249,0.0038022813,0.0988593176,0.0494296588,0.064638786
13,10,0,1,0,0,0,0,0
1,5,1,0,0,0,0,0,0.3333333433
13,11,0.3913043439,0.4006211162,0.0776397511,0.0093167704,0.0776397511,0.0434782617,0.0807453394
14,0,0.3755458593,0.4061135352,0.0655021816,0,0.1048034951,0.0480349362,0.0655021816
14,1,0.1000000015,0.6999999881,0,0,0,0.200000003,0
14,2,0.6666666865,0.1111111119,0,0,0.1111111119,0.1111111119,0.1111111119
14,3,0,0.5,0,0,0.25,0.25,0
14,4,0.3235294223,0.3970588148,0.0441176482,0,0.1176470593,0.1176470593,0.0294117648
14,5,0.409722209,0.375,0.0347222239,0,0.1319444478,0.0486111119,0.0902777761
14,6,0.3307086527,0.3779527545,0.1259842515,0,0.1023622081,0.0629921257,0.0708661452
14,7,0.3142857254,0.3714285791,0.1428571492,0,0.0571428575,0.1142857149,0.0285714287
1,6,0.6666666865,0.1666666716,0.1666666716,0,0,0,0.0833333358
14,8,0.3967971504,0.3701067567,0.0729537383,0.0035587188,0.1085409224,0.0480427034,0.0551601425
14,9,0.3668639064,0.3491124213,0.1035502926,0.0059171598,0.1183431968,0.0562130176,0.0621301793
14,10,0.25,0.25,0.25,0,0.25,0,0
14,11,0.4236842096,0.3552631438,0.0763157904,0.0078947367,0.0842105299,0.0526315793,0.092105262
14,12,1,0,0,0,0,0,1
15,0,0.4482758641,0.2758620679,0,0,0.2758620679,0,0.1034482792
