BatclustNo,BowlclustNo,0s,1s,2s,3s,4s,6s,Out
0,0,0.2735133855,0.2966121772,0.0440653873,0,0.0516346837,0.025764037,0.3084103293
0,1,0.2846560847,0.2812169312,0.0185185185,0.0185185185,0.126984127,0,0.2701058201
0,2,0.2682882159,0.2609264719,0.0366613062,0,0.0957607433,0.0447913875,0.2935718753
0,3,0.3027128427,0.2677355977,0.037032967,0,0.0601653902,0.0226884227,0.3096647797
0,4,0.2336602871,0.3200113921,0.0659375712,0,0.0549008886,0.0263408521,0.2991490089
1,0,0.2927804159,0.3086005687,0.0408437182,0.0006830601,0.1045023948,0.0391640435,0.2134257987
1,1,0.2634491979,0.2859712249,0.0695065784,0,0.1500364994,0.0332395382,0.1977969612
1,2,0.3082454582,0.3077383475,0.040954416,0.0046897547,0.1192617988,0.0353997854,0.1815459372
1,3,0.2545574084,0.3364016859,0.041243895,0.0038461538,0.0869889939,0.0459179816,0.2310438813
1,4,0.3213968945,0.275230024,0.0514273914,0.0034952171,0.0964974177,0.0455490296,0.2064040258
2,0,0.3019960199,0.3210484097,0.0458739126,0.0039640436,0.0787897789,0.030938629,0.2173892063
2,1,0.2867174867,0.3226553477,0.0506294756,0.012012012,0.0459228459,0.028031878,0.254030954
2,2,0.2859800397,0.2822138288,0.0713298878,0.00152207,0.1125358279,0.0328826425,0.2135357033
2,3,0.2805384138,0.3169881806,0.0508393857,0.0028129395,0.0781855627,0.0356364978,0.23499902
2,4,0.3045149305,0.3271988433,0.0446719708,0.0006097561,0.0710046768,0.0189475716,0.2330522508
3,0,0.3292638951,0.2935849316,0.0352260476,0.0046099291,0.0814381983,0.0410746759,0.2148023224
3,1,0.358007308,0.2713846214,0.0403766654,0.0072393822,0.1119456369,0.0369164619,0.1741299241
3,2,0.2907468587,0.2907406961,0.0565962531,0.0009363296,0.1144265205,0.0400732538,0.2064800882
3,3,0.2851986278,0.3089463134,0.0460230187,0.0004930966,0.0864907118,0.0432988445,0.2295493872
3,4,0.3284846792,0.2614525203,0.0419546342,0.0047272172,0.1069699379,0.0338035972,0.222607414
4,0,0.2739600407,0.3211023301,0.0464640518,0,0.0596912053,0.036150762,0.26263161
4,1,0.2769585253,0.2693804403,0.0497311828,0.0064516129,0.0637480799,0.0478494624,0.2858806964
4,2,0.2980056779,0.293361017,0.0462089843,0,0.0750137242,0.0348692672,0.2525413294
4,3,0.2698057604,0.3312980544,0.0402765847,0.0041599589,0.0675945074,0.0296191954,0.2572459388
4,4,0.2630500408,0.318127652,0.0507779667,0.00475752,0.0684615722,0.0412081166,0.2536171318
